Game,M-4,M-3,M-2,M-1,Launch Month,M1,M2,M3,M4,Genre
Age of Wonders 4,0,0,0,0.094,1,0.062,0.087,0.025,0,Strategy
Hood: Outlaws & Legends,0,0,0,0.105,1,0,0,0,0,Role Playing
Expeditions: A Mudrunner Game,0,0,0,0.15,1,0.065,0.051,0.098,0,Simulation
Wo Long: Fallen Dynasty,0,0,0,0.211,1,0.214,0,0.034,0.042,Role Playing
Loop Hero,0,0,0,0.041,1,0.024,0.01,0.009,0.006,Role Playing
Persona 5 Strikers,0,0,0,0.096,1,0.51,0.066,0.017,0.018,Role Playing
Lords of the Fallen (2023),0,0,0,0.03,1,0.266,0.112,0.193,0.052,Role Playing
Pathfinder: Wrath of the Righteous,0,0,0,0.074,1,0.065,0.029,0.023,0.076,Role Playing
Naraka: Bladepoint,0,0,0.095,0,1,0.141,0.011,0.011,0.028,Battle Royale
Horizon Forbidden West,0,0,0.033,0.102,1,0.277,0.058,0.091,0.09,Adventure
Immortals Fenyx Rising,0,0,0,0.09,1,0.214,0.115,0.177,0.077,Adventure
Suicide Squad: Kill The Justice League,0,0,0,0.42,1,0.018,0.014,0.003,0,Adventure
EA SPORTS FIFA 23,0,0,0.034,0.206,1,21.227,2.757,3.171,1.292,Sports
F1 23,0,0,0,0.193,1,0.674,0.248,0.476,0.123,Racing
F1 2021,0,0,0,0.117,1,0.269,0.121,0.047,0.04,Racing
Tales of Arise,0,0,0,0.106,1,0.051,0.05,0.038,0.077,Role Playing
"Warhammer 40,000: Boltgun",0,0,0,0.058,1,0.504,0.359,0.094,0.084,Shooter
EA Sports WRC,0,0,0.249,0.539,1,0.441,0,0.058,0.186,Racing
Evil Genius 2: World Domination,0,0,0,0.113,1,0.68,0,0,0,Strategy
Shin Megami Tensei V,0,0,0.103,0.088,1,0.06,0.017,0,0,Role Playing
STAR OCEAN THE SECOND STORY R,0,0,0,0.106,1,0.047,0.043,0,0.099,Role Playing
Company of Heroes 3,0,0,0,0,1,0.408,0,0.008,0.014,Strategy
Jurassic World Evolution 2,0,0,0,0.115,1,0.227,0.158,0.102,0.07,Simulation
Crisis Core: Final Fantasy VII - Reunion,0,0.05,0,0,1,0.203,0.036,0.024,0.01,Role Playing
Lies Of P,0,0.035,0,0.044,1,0.45,0.349,0.467,0.269,Adventure
Pacific Drive,0,0,0,0.252,1,3.062,0.62,0.298,0.28,Adventure
Diablo II: Resurrected,0.014,0.044,0.032,0.22,1,9.349,2.801,2.174,2.923,Role Playing
Dungeons & Dragons: Dark Alliance,0,0,0,0.078,1,0.267,0,0,0,Role Playing
Swords of Legends Online,0,0.047,0.238,0.079,1,0.028,0,0,0,Role Playing
Orcs Must Die! 3,0,0,0,0.105,1,0.565,0,0.014,0.02,Strategy
JoJo's Bizarre Adventure: All-Star Battle R,0,0,0,0.205,1,0.021,0.01,0.013,0.011,Fighting
The Jackbox Party Pack 8,0,0,0,0.166,1,0.4,0.235,0.25,0.149,Arcade
Life is Strange: True Colors,0,0,0,0,1,0.074,0.027,0.054,0.067,Adventure
Endless Dungeon,0,0,0,0,1,0.096,0,0,0,Role Playing
Skull and Bones,0,0,0.07,0,1,0.333,0,0.117,0.123,Adventure
F1 22,0,0.057,0.116,0.361,1,0.152,0.074,0.078,0.096,Racing
Redfall,0,0,0,0.322,1,0,0,0,0,Shooter
